T,Acidez,Aw,Umidade,ST,Brix,Cor - L*,Cor - a*,Cor - b*,sig,w1_915,w1_2450,w2_915,w2_2450,e1_915,e1_2450,e2_915,e2_2450
5,0.5383,0.959,91.4118,8.5882,8.58,32.5933,-0.6333,5.8033,0.5249,0.9676,0.9352,1.3064,1.0968,82.3015,77.3333,9.0139,18.1620
5,0.5578,0.959,91.3470,8.6530,8.68,32.5991,-0.6012,5.8584,0.5253,0.9676,0.9352,1.3064,1.0968,82.6753,77.4762,9.1447,18.5264
10,0.5383,0.959,91.4118,8.5882,8.58,32.5933,-0.6333,5.8033,0.6076,0.9676,0.9507,1.3108,1.1126,81.0289,76.8159,8.3182,16.5155
10,0.5578,0.959,91.3470,8.6530,8.68,32.5991,-0.6012,5.8584,0.6077,0.9676,0.9507,1.3108,1.1126,81.0930,76.8526,8.2480,16.4250
20,0.5383,0.959,91.4118,8.5882,8.58,32.5933,-0.6333,5.8033,0.7852,0.9713,0.9837,1.3019,1.1057,77.5681,75.0177,6.9650,12.7297
20,0.5578,0.959,91.3470,8.6530,8.68,32.5991,-0.6012,5.8584,0.7853,0.9713,0.9837,1.3019,1.1057,77.7004,75.1015,6.9760,12.8582
30,0.5383,0.959,91.4118,8.5882,8.58,32.5933,-0.6333,5.8033,0.9679,0.9704,1.0193,1.3500,1.1496,75.0266,73.1810,6.2718,10.5070
30,0.5578,0.959,91.3470,8.6530,8.68,32.5991,-0.6012,5.8584,0.9680,0.9704,1.0193,1.3500,1.1496,74.8605,73.0316,6.2811,10.4516
40,0.5383,0.959,91.4118,8.5882,8.58,32.5933,-0.6333,5.8033,1.1590,0.9766,1.0573,1.3931,1.1667,71.7936,70.4854,5.8563,8.6371
40,0.5578,0.959,91.3470,8.6530,8.68,32.5991,-0.6012,5.8584,1.1600,0.9766,1.0573,1.3931,1.1667,71.7582,70.4359,5.8625,8.5373
50,0.5383,0.959,91.4118,8.5882,8.58,32.5933,-0.6333,5.8033,1.3563,0.9813,1.0974,1.4539,1.1899,69.5550,68.4428,5.7193,7.3774
50,0.5578,0.959,91.3470,8.6530,8.68,32.5991,-0.6012,5.8584,1.3569,0.9813,1.0974,1.4539,1.1899,69.3742,68.3186,5.7451,7.2598
60,0.5383,0.959,91.4118,8.5882,8.58,32.5933,-0.6333,5.8033,1.5497,0.9854,1.1389,1.4809,1.2047,67.4333,66.4715,5.6765,6.5006
60,0.5578,0.959,91.3470,8.6530,8.68,32.5991,-0.6012,5.8584,1.5502,0.9854,1.1389,1.4809,1.2047,66.7678,65.9157,5.7564,6.3786
70,0.5383,0.959,91.4118,8.5882,8.58,32.5933,-0.6333,5.8033,1.7570,0.9845,1.1814,1.4751,1.1852,64.9521,64.1529,5.7861,5.8164
70,0.5578,0.959,91.3470,8.6530,8.68,32.5991,-0.6012,5.8584,1.7580,0.9845,1.1814,1.4751,1.1852,64.2001,63.4010,5.8470,5.6536
80,0.5383,0.959,91.4118,8.5882,8.58,32.5933,-0.6333,5.8033,1.9493,0.9834,1.2239,1.5137,1.1825,62.4851,61.9680,5.9701,5.2766
80,0.5578,0.959,91.3470,8.6530,8.68,32.5991,-0.6012,5.8584,1.9509,0.9834,1.2239,1.5137,1.1825,61.9910,61.2700,6.0930,5.1511
90,0.5383,0.959,91.4118,8.5882,8.58,32.5933,-0.6333,5.8033,2.1660,0.9906,1.2652,1.4303,1.2526,60.5910,59.7815,6.1254,4.8862
90,0.5578,0.959,91.3470,8.6530,8.68,32.5991,-0.6012,5.8584,2.1670,0.9906,1.2652,1.4303,1.2526,60.5910,59.7815,6.1254,4.8862
5,0.0806,0.993,88.7774,28.0018,11.76,32.7000,-0.7833,-0.4233,3.0717,0.9353,0.9634,1.8004,1.1249,79.2875,73.8328,17.1408,20.3161
5,0.0847,0.956,88.7903,19.4225,11.56,32.7100,-0.7528,-0.3771,3.0722,0.9353,0.9634,1.8004,1.1249,80.1908,74.1070,17.1109,21.0305
10,0.0806,0.993,88.7774,28.0018,11.76,32.7000,-0.7833,-0.4233,3.5883,0.9426,0.9661,1.8684,1.1738,78.3507,73.4896,17.1944,19.2967
10,0.0847,0.956,88.7903,19.4225,11.56,32.7100,-0.7528,-0.3771,3.5904,0.9426,0.9661,1.8684,1.1738,78.9762,73.7479,17.1137,19.7071
20,0.0806,0.993,88.7774,28.0018,11.76,32.7000,-0.7833,-0.4233,4.4307,0.9506,0.9665,2.1500,1.2621,75.8660,72.1334,17.7315,17.0075
20,0.0847,0.956,88.7903,19.4225,11.56,32.7100,-0.7528,-0.3771,4.4312,0.9506,0.9665,2.1500,1.2621,76.0496,72.2098,17.6626,17.1126
30,0.0806,0.993,88.7774,28.0018,11.76,32.7000,-0.7833,-0.4233,5.5147,0.9663,0.9765,2.4571,1.3907,74.1727,71.0364,18.7691,15.7691
30,0.0847,0.956,88.7903,19.4225,11.56,32.7100,-0.7528,-0.3771,5.5152,0.9663,0.9765,2.4571,1.3907,74.1325,71.0171,18.8236,15.7321
40,0.0806,0.993,88.7774,28.0018,11.76,32.7000,-0.7833,-0.4233,6.7100,0.9768,0.9829,2.7417,1.5176,72.1558,69.4690,20.0900,14.8610
40,0.0847,0.956,88.7903,19.4225,11.56,32.7100,-0.7528,-0.3771,6.7110,0.9768,0.9829,2.7417,1.5176,71.7526,69.1913,20.3747,14.7751
50,0.0806,0.993,88.7774,28.0018,11.76,32.7000,-0.7833,-0.4233,8.0063,0.9825,0.9860,2.9932,1.6166,69.0691,66.7087,21.3943,14.0474
50,0.0847,0.956,88.7903,19.4225,11.56,32.7100,-0.7528,-0.3771,8.0084,0.9825,0.9860,2.9932,1.6166,68.2776,66.0668,21.8617,13.9404
60,0.0806,0.993,88.7774,28.0018,11.76,32.7000,-0.7833,-0.4233,9.1083,0.9892,0.9911,3.3254,1.7319,67.6724,65.6255,23.5680,14.0200
60,0.0847,0.956,88.7903,19.4225,11.56,32.7100,-0.7528,-0.3771,9.1158,0.9892,0.9911,3.3254,1.7319,67.0461,64.9476,24.2193,13.9103
70,0.0806,0.993,88.7774,28.0018,11.76,32.7000,-0.7833,-0.4233,10.2867,1.0006,1.0018,3.6652,1.8517,66.1843,64.1801,25.5449,14.0323
70,0.0847,0.956,88.7903,19.4225,11.56,32.7100,-0.7528,-0.3771,10.2982,1.0006,1.0018,3.6652,1.8517,65.0853,63.2327,26.6232,14.0464
80,0.0806,0.993,88.7774,28.0018,11.76,32.7000,-0.7833,-0.4233,11.4867,1.0059,1.0065,3.7202,1.9363,64.3778,62.5045,27.1943,14.0222
80,0.0847,0.956,88.7903,19.4225,11.56,32.7100,-0.7528,-0.3771,11.4924,1.0059,1.0065,3.7202,1.9363,62.9357,61.1047,28.7610,14.1660
90,0.0806,0.993,88.7774,28.0018,11.76,32.7000,-0.7833,-0.4233,12.6833,1.0053,1.0051,5.2651,2.3512,61.9083,60.1688,31.3255,14.6736
90,0.0847,0.956,88.7903,19.4225,11.56,32.7100,-0.7528,-0.3771,12.7085,1.0053,1.0051,5.2651,2.3512,61.0763,59.3887,32.2763,14.8207
5,0.1626,0.984,86.6511,33.0933,6.58,35.5067,-0.7833,-0.4233,0.7834,0.9901,0.9615,1.3254,1.0973,84.1740,79.4911,9.6280,18.3346
5,0.1645,0.986,86.6878,32.0418,6.78,35.5539,-0.7528,-0.3771,0.7835,0.9901,0.9615,1.3254,1.0973,84.6452,79.6674,9.7801,18.7496
10,0.1626,0.984,86.6511,33.0933,6.58,35.5067,-0.7833,-0.4233,0.8975,0.9906,0.9774,1.3367,1.1020,82.4479,78.7742,8.9303,16.3981
10,0.1645,0.986,86.6878,32.0418,6.78,35.5539,-0.7528,-0.3771,0.8983,0.9906,0.9774,1.3367,1.1020,82.8863,78.9617,9.0541,16.6570
20,0.1626,0.984,86.6511,33.0933,6.58,35.5067,-0.7833,-0.4233,1.1523,0.9929,1.0113,1.3490,1.1007,79.3673,76.9947,7.8673,12.9339
20,0.1645,0.986,86.6878,32.0418,6.78,35.5539,-0.7528,-0.3771,1.1529,0.9929,1.0113,1.3490,1.1007,79.4952,77.0537,7.9087,13.0780
30,0.1626,0.984,86.6511,33.0933,6.58,35.5067,-0.7833,-0.4233,1.4373,0.9993,1.0480,1.4276,1.1503,76.6540,75.0456,7.4582,10.8656
30,0.1645,0.986,86.6878,32.0418,6.78,35.5539,-0.7528,-0.3771,1.4379,0.9993,1.0480,1.4276,1.1503,76.7088,75.0132,7.4423,10.7849
40,0.1626,0.984,86.6511,33.0933,6.58,35.5067,-0.7833,-0.4233,1.7120,0.9976,1.0870,1.5094,1.1653,73.5447,72.3023,7.2402,9.0277
40,0.1645,0.986,86.6878,32.0418,6.78,35.5539,-0.7528,-0.3771,1.7130,0.9976,1.0870,1.5094,1.1653,73.4367,72.2096,7.2496,8.9475
50,0.1626,0.984,86.6511,33.0933,6.58,35.5067,-0.7833,-0.4233,2.0067,1.0040,1.1282,1.6384,1.2115,71.2207,70.2567,7.3513,7.9475
50,0.1645,0.986,86.6878,32.0418,6.78,35.5539,-0.7528,-0.3771,2.0072,1.0040,1.1282,1.6384,1.2115,70.9533,69.9503,7.4077,7.8288
60,0.1626,0.984,86.6511,33.0933,6.58,35.5067,-0.7833,-0.4233,2.3043,1.0065,1.1709,1.7527,1.2175,68.6515,67.8291,7.6712,7.0523
60,0.1645,0.986,86.6878,32.0418,6.78,35.5539,-0.7528,-0.3771,2.3059,1.0065,1.1709,1.7527,1.2175,68.4271,67.6067,7.7077,6.9807
70,0.1626,0.984,86.6511,33.0933,6.58,35.5067,-0.7833,-0.4233,2.6107,1.0065,1.2146,1.8495,1.2189,66.1804,65.4767,8.0696,6.4483
70,0.1645,0.986,86.6878,32.0418,6.78,35.5539,-0.7528,-0.3771,2.6127,1.0065,1.2146,1.8495,1.2189,65.8626,65.1347,8.1181,6.3712
80,0.1626,0.984,86.6511,33.0933,6.58,35.5067,-0.7833,-0.4233,2.9307,1.0024,1.2582,1.9042,1.2240,63.6754,62.9125,8.4917,6.0241
80,0.1645,0.986,86.6878,32.0418,6.78,35.5539,-0.7528,-0.3771,2.9337,1.0024,1.2582,1.9042,1.2240,63.2010,62.5871,8.5635,5.9919
90,0.1626,0.984,86.6511,33.0933,6.58,35.5067,-0.7833,-0.4233,3.2333,1.0026,1.3007,2.2567,1.3412,61.2736,60.9630,9.2822,5.8227
90,0.1645,0.986,86.6878,32.0418,6.78,35.5539,-0.7528,-0.3771,3.2358,1.0026,1.3007,2.2567,1.3412,61.3770,60.8334,9.3232,5.8163
5,0.0568,0.956,91.5393,32.7698,7.78,65.8500,3.9000,32.5900,0.4846,0.9569,0.9280,1.2358,1.0549,81.2843,76.6850,8.4625,17.3669
5,0.0627,0.957,91.5670,27.6061,7.88,65.9300,3.7300,32.5900,0.4849,0.9569,0.9280,1.2358,1.0549,81.8787,76.9397,8.6683,17.8899
10,0.0568,0.956,91.5393,32.7698,7.78,65.8500,3.9000,32.5900,0.5551,0.9641,0.9434,1.2502,1.0753,80.2392,76.3397,7.7985,15.6881
10,0.0627,0.957,91.5670,27.6061,7.88,65.9300,3.7300,32.5900,0.5553,0.9641,0.9434,1.2502,1.0753,80.6846,76.5620,7.9055,16.0394
20,0.0568,0.956,91.5393,32.7698,7.78,65.8500,3.9000,32.5900,0.7151,0.9676,0.9762,1.2492,1.0817,77.0856,74.7103,6.6012,12.4142
20,0.0627,0.957,91.5670,27.6061,7.88,65.9300,3.7300,32.5900,0.7152,0.9676,0.9762,1.2492,1.0817,77.6298,74.7561,6.6246,12.4984
